,country,month,export_value
337,"China, Hong Kong SAR",2012-01-01,143889543.877
338,France,2012-01-01,25354918.08
339,Germany,2012-01-01,324123335.025
340,Italy,2012-01-01,16148568.51
341,Japan,2012-01-01,379453332.59
342,Malaysia,2012-01-01,169688927.595
343,Netherlands,2012-01-01,65193858.407
344,Philippines,2012-01-01,90185493.0
345,Singapore,2012-01-01,182923578.0
346,Thailand,2012-01-01,7892227.0
347,USA,2012-01-01,171381232.0
348,Rep. of Korea,2012-01-01,165646792.964
349,Viet Nam,2012-01-01,582753.119
350,China,2012-02-01,1311041915.0
351,"China, Hong Kong SAR",2012-02-01,186049808.921
352,France,2012-02-01,41078425.296
353,Germany,2012-02-01,400485465.235
354,Italy,2012-02-01,23023909.68
355,Japan,2012-02-01,468448187.396
356,Malaysia,2012-02-01,202420163.717
357,Netherlands,2012-02-01,107654371.625
358,Philippines,2012-02-01,110958619.0
359,Singapore,2012-02-01,165817113.0
360,Thailand,2012-02-01,12215312.0
361,USA,2012-02-01,202779792.0
362,Rep. of Korea,2012-02-01,179246166.877
363,Viet Nam,2012-02-01,530460.448
364,China,2012-03-01,1909405794.0
365,"China, Hong Kong SAR",2012-03-01,183760417.985
366,France,2012-03-01,44121081.853
367,Germany,2012-03-01,401959592.178
368,Italy,2012-03-01,72425411.958
369,Japan,2012-03-01,494432799.353
370,Malaysia,2012-03-01,199906193.027
371,Netherlands,2012-03-01,144108569.969
372,Philippines,2012-03-01,72965709.0
373,Singapore,2012-03-01,159347306.0
374,Thailand,2012-03-01,11479738.0
375,USA,2012-03-01,206372142.0
376,Rep. of Korea,2012-03-01,209870288.12
377,Viet Nam,2012-03-01,812924.496
378,China,2012-04-01,2114255786.0
379,"China, Hong Kong SAR",2012-04-01,240818449.343
380,France,2012-04-01,37487758.322
381,Germany,2012-04-01,421733065.992
382,Italy,2012-04-01,35079270.266
383,Japan,2012-04-01,491078003.197
384,Malaysia,2012-04-01,193351161.96
385,Netherlands,2012-04-01,160771960.996
386,Philippines,2012-04-01,56745357.0
387,Singapore,2012-04-01,153817755.0
388,Thailand,2012-04-01,11005918.0
389,USA,2012-04-01,206006851.0
390,Rep. of Korea,2012-04-01,160044497.843
391,Viet Nam,2012-04-01,1848440.986
392,China,2012-05-01,2337631145.0
393,"China, Hong Kong SAR",2012-05-01,248594763.105
394,France,2012-05-01,42523309.899
395,Germany,2012-05-01,532133718.014
396,Italy,2012-05-01,21708266.013
397,Japan,2012-05-01,461028639.37
398,Malaysia,2012-05-01,194189784.73
399,Netherlands,2012-05-01,198720780.483
400,Philippines,2012-05-01,47536639.0
401,Singapore,2012-05-01,255592633.0
